_id,id_cliente,numero_conta,agencia,tipo,cpf,valor
102,95,270988-0,6740,Conta salário,170.583.171-00,505.8
184,174,0755020-0,6035,Conta salário,185.914.304-09,5012.37
181,171,60087448-1,783,Conta corrente,968.309.352-37,4874.45
233,221,1524609-P,6648,Conta poupança,315.655.773-02,4861.62
133,125,0176540-P,6699,Conta salário,610.490.161-14,4846.34
76,70,1760268-3,5,Conta poupança,235.044.458-90,4831.36
18,16,22516-6,1545,Conta salário,293.808.062-05,4813.18
74,68,91762-9,4230,Conta corrente,959.643.624-43,4795.36
172,163,0129160-2,2143,Conta poupança,189.900.212-00,475.7
224,212,86753-5,9346,Conta salário,627.123.113-61,4722.29
228,216,82092-0,1451,Conta corrente,142.427.391-92,4691.35
84,77,231940-3,4346,Conta poupança,101.671.842-02,4654.61
89,82,48397377-2,3706,Conta salário,556.804.687-51,4620.87
46,41,228537-1,1545,Conta corrente,638.680.962-99,4611.58
39,34,1361096-7,1545,Conta salário,576.843.157-81,45.59
240,228,1057737-8,2697,Conta poupança,839.434.878-57,4496.24
212,201,57376-0,6967,Conta corrente,183.199.837-89,4471.24
219,208,45266590-7,3458,Conta corrente,890.570.703-32,4383.68
215,204,65171-2,2997,Conta corrente,229.651.611-47,4368.17
61,55,35569382-4,1545,Conta salário,841.666.723-39,4251.76
202,192,74148-2,6383,Conta corrente,220.573.531-41,4206.79
33,30,0049806-8,1545,Conta poupança,780.986.023-20,4179.68
21,19,14403-7,1545,Conta salário,526.351.553-72,4113.39
75,69,65904-3,8849,Conta salário,332.828.351-08,3953.49
110,103,0671813-2,111,Conta corrente,710.470.412-43,3936.48
243,231,07800563-6,4658,Conta poupança,643.880.844-09,3922.59
80,74,1619684-3,5975,Conta salário,432.692.354-70,3871.84
127,119,88451-7,1423,Conta corrente,067.230.460-05,378.38
138,130,0039713-P,833,Conta corrente,487.916.402-02,3726.77
139,131,1145241-8,6180,Conta poupança,021.781.192-20,3696.77
255,242,295411-7,4254,Conta poupança,532.422.614-96,367.17
67,61,1744419-0,987,Conta salário,270.979.021-16,3614.19
115,108,24905-1,6313,Conta salário,708.129.831-14,3596.13
256,243,29295-8,2784,Conta corrente,000.229.878-35,3563.85
162,153,0433115-P,2767,Conta corrente,582.417.639-64,3517.36
119,112,27984233-1,2140,Conta poupança,997.041.851-38,3391.31
170,161,1136162-X,1137,Conta corrente,425.244.674-06,3343.78
150,142,1912643-9,2736,Conta corrente,671.865.712-39,3339.39
132,124,20745-9,4843,Conta salário,397.616.191-84,3298.61
38,33,1078596-5,1545,Conta salário,705.861.315-07,3277.75
258,245,1267065-0,1760,Conta poupança,591.022.731-95,3247.17
125,117,1138137-X,5921,Conta poupança,190.980.634-03,3225.35
122,114,7315702574-0,59,Conta salário,862.830.481-96,3118.49
65,59,14008-5,1545,Conta corrente,963.041.714-63,3107.88
56,50,82303-3,1545,Conta poupança,176.206.362-00,3048.72
48,43,86295-9,1545,Conta salário,895.937.727-90,3032.42
216,205,53245669-0,3524,Conta corrente,998.291.284-40,3014.17
50,45,86322-8,1545,Conta salário,686.742.959-91,3013.47
169,160,27557-1,577,Conta poupança,776.308.825-72,3003.92
53,47,283294-1,1545,Conta poupança,008.907.304-58,2984.62
249,236,0795587-1,1957,Conta salário,992.693.044-18,295.02
54,48,02993-4,1545,Conta corrente,091.764.109-43,2861.45
93,86,1218085-3,2971,Conta salário,033.337.027-97,283.52
248,235,78399-0,4286,Conta corrente,315.603.151-80,2791.72
71,65,1178577-2,5871,Conta salário,689.610.623-95,2751.81
37,32,33861-5,1545,Conta salário,729.714.507-67,2749.14
112,105,1254941-X,2328,Conta poupança,456.191.483-86,2685.67
225,213,1975246-1,3390,Conta corrente,834.977.178-00,2646.98
68,62,1508548-7,2151,Conta corrente,289.205.012-03,2528.35
131,123,1128896-5,1634,Conta poupança,154.158.244-64,2320.55
245,232,1059427-2,5294,Conta salário,047.326.014-05,2257.94
250,237,1117413-7,2694,Conta poupança,667.184.164-01,2159.24
189,179,0513681-4,3598,Conta corrente,048.590.471-33,214.48
193,183,237487-0,1842,Conta salário,820.078.502-57,2133.45
152,144,50239639-7,4402,Conta corrente,648.635.104-70,2058.52
155,146,09664198-8,4281,Conta salário,513.369.585-37,1974.78
206,196,255488-7,3140,Conta salário,003.067.296-10,1901.56
92,85,109448-3,8104,Conta salário,902.812.231-14,1811.26
97,90,0387741-8,6496,Conta poupança,000.465.101-41,1810.61
34,30,0049806-8,1545,Conta salário,780.986.023-20,179.68
51,45,86322-8,1545,Conta corrente,686.742.959-91,1713.47
257,244,09792610-8,796,Conta salário,078.361.494-20,1701.85
183,173,0732754-4,6383,Conta poupança,623.837.532-97,1694.57
251,328,48163-3,593,Conta poupança,690.524.743-03,1582.21
237,225,48736-4,2906,Conta salário,474.972.434-38,1483.15
171,162,84283-9,267,Conta corrente,099.960.134-21,1452.21
111,104,1153549-0,4292,Conta salário,807.601.401-89,1447.95
94,87,35359-5,1663,Conta corrente,258.333.724-61,1398.22
12,11,131942-6,1545,Conta poupança,992.651.961-06,1364.38
9,8,37923793-1,1545,Conta poupança,686.206.844-00,1354.59
161,152,0962595-P,2629,Conta corrente,105.540.644-13,1315.13
16,14,0534441-7,1545,Conta salário,449.036.841-05,1256.96
35,30,0049806-8,1545,Conta corrente,780.986.023-20,1179.68
72,66,1179118-2,874,Conta poupança,456.509.433-97,1157.17
124,116,0332808-2,3088,Conta salário,578.231.621-72,1134.53
44,39,37037129-9,1545,Conta salário,888.568.498-01,1106.46
28,25,43876973-9,1545,Conta salário,852.920.201-50,9933.5
188,178,285419-8,948,Conta salário,687.230.744-77,9820.6
42,37,48881704-4,1545,Conta poupança,917.341.484-03,9580.07
8,7,0150596-3,1545,Conta salário,797.591.481-96,9442.05
69,63,97215-4,6480,Conta corrente,761.842.512-44,9401.6
244,232,1059427-2,5294,Conta poupança,047.326.014-05,9130.2
14,13,156311-4,1545,Conta poupança,038.878.574-88,8851.6
43,38,91819-6,1545,Conta poupança,019.865.492-83,8778.03
99,92,46078095-4,788,Conta corrente,469.250.011-50,8604.09
200,190,233599-9,668,Conta corrente,616.789.557-01,8597.04
22,20,1173949-0,1545,Conta corrente,105.074.500-00,7982.6
130,122,0958660-1,2370,Conta corrente,052.688.521-16,7068.09
253,240,163591-3,4985,Conta corrente,366.092.657-47,6851.04
7,6,0616205-3,1545,Conta poupança,927.934.688-19,6805.5
242,230,1292926-9,5498,Conta poupança,941.169.492-64,6226.2
101,94,35096397-7,4025,Conta poupança,111.480.403-74,6156.01
85,78,207735-3,2642,Conta poupança,226.536.359-68,5261.02
79,73,166057-8,470,Conta poupança,071.071.591-94,5112.05
108,101,48870218-7,4674,Conta poupança,926.401.585-03,4885.04
159,150,119933-1,2863,Conta corrente,235.058.822-08,4761.9
41,36,92676297-1,1545,Conta corrente,750.921.051-86,4158.06
198,188,1612605-5,140,Conta salário,374.959.231-48,4083.06
77,71,74178-7,808,Conta poupança,145.599.065-56,3921.01
187,177,1175112-6,6869,Conta poupança,318.058.033-01,3704.4
57,51,21940-0,1545,Conta corrente,699.533.922-34,3612.8
178,169,1850247-P,1793,Conta salário,031.200.424-98,3291.01
217,206,145881-7,6806,Conta poupança,201.992.142-12,3187.08
24,22,38924-3,1545,Conta salário,190.071.880-46,2864.9
263,250,92330346-8,3452,Conta corrente,772.306.112-96,2673.3
186,176,43701-8,9260,Conta corrente,455.042.451-68,2391.9
66,60,37355-2,1545,Conta corrente,729.693.084-52,2363.09
17,15,253230-1,1545,Conta corrente,321.906.904-55,2258.11
223,211,97292-7,125,Conta poupança,163.241.754-56,2137.06
231,219,72789-9,8039,Conta salário,509.504.150-22,2061.4
164,155,0102380-2,1341,Conta poupança,887.008.840-57,1915.1
117,110,36792-4,6128,Conta poupança,236.928.802-78,2414
63,57,04606-7,1545,Conta poupança,138.889.343-62,1540
32,29,1221755-7,1545,Conta salário,128.791.631-70,1766.4
64,58,0543047-P,1545,Conta poupança,756.313.994-07,1715.5
197,187,1201707-8,519,Conta corrente,415.441.944-71,1708.03
166,157,01171265-0,3448,Conta salário,558.631.231-09,1679.02
5,4,1167749-X,1545,Conta corrente,845.939.560-05,1500.2
105,98,79033-2,3215,Conta poupança,861.201.842-01,1292.2
82,75,253587-4,5819,Conta corrente,816.774.624-00,1210.5
179,170,1085015-5,5568,Conta corrente,561.214.124-61,1090.7
147,139,1593060-8,919,Conta corrente,353.482.179-30,1021.06
